year,waste
2010-11,325.3
2010-11,345.4
2010-11,360.0
2010-11,318.7
2010-11,373.7
2010-11,370.7
2010-11,414.7
2010-11,384.8
2010-11,363.5
2010-11,310.8
2010-11,401.7
2010-11,367.5
2010-11,324.9
2010-11,382.0
2010-11,326.1
2010-11,379.4
2010-11,384.2
2010-11,323.0
2010-11,413.0
2010-11,322.3
2010-11,322.1
2010-11,335.5
2010-11,333.7
2010-11,352.7
2010-11,323.6
2010-11,407.1
2010-11,312.0
2010-11,391.7
2010-11,341.6
2010-11,391.5
2010-11,340.9
2010-11,295.4
2010-11,337.0
2010-11,402.2
2010-11,315.9
2010-11,346.7
2010-11,378.5
2010-11,367.9
2010-11,366.4
2010-11,357.4
2010-11,331.7
2010-11,383.6
2010-11,339.8
2010-11,342.6
2010-11,317.6
2010-11,434.7
2010-11,447.0
2010-11,329.1
2010-11,311.8
2010-11,404.9
2010-11,411.7
2010-11,339.0
2010-11,370.7
2010-11,359.3
2010-11,398.8
2010-11,479.6
2010-11,476.4
2010-11,461.1
2010-11,490.4
2010-11,436.8
2010-11,464.8
2010-11,497.3
2010-11,436.9
2010-11,409.8
2010-11,526.4
2010-11,465.8
2010-11,486.9
2010-11,383.0
2010-11,427.9
2010-11,420.4
2010-11,386.6
2010-11,517.0
2010-11,478.0
2010-11,447.3
2011-12,321.3
2011-12,333.3
2011-12,347.5
2011-12,313.4
2011-12,360.6
2011-12,344.2
2011-12,406.1
2011-12,373.7
2011-12,355.8
2011-12,286.9
2011-12,376.7
2011-12,331.2
2011-12,313.7
2011-12,373.2
2011-12,319.6
2011-12,380.6
2011-12,370.6
2011-12,315.4
2011-12,375.5
2011-12,305.4
2011-12,312.2
2011-12,331.1
2011-12,327.0
2011-12,340.0
2011-12,321.8
2011-12,409.0
2011-12,294.0
2011-12,350.5
2011-12,339.0
2011-12,377.0
2011-12,332.5
2011-12,288.7
2011-12,340.9
2011-12,391.6
2011-12,303.0
2011-12,332.6
2011-12,367.4
2011-12,342.0
2011-12,369.1
2011-12,347.7
2011-12,328.5
2011-12,363.4
2011-12,344.5
2011-12,346.7
2011-12,329.4
2011-12,402.8
2011-12,425.6
2011-12,323.9
2011-12,300.2
2011-12,402.3
2011-12,399.9
2011-12,324.8
2011-12,372.7
2011-12,356.6
2011-12,390.2
2011-12,471.6
2011-12,464.7
2011-12,450.5
2011-12,465.4
2011-12,422.7
2011-12,451.9
2011-12,481.9
2011-12,429.6
2011-12,385.0
2011-12,480.8
2011-12,445.1
2011-12,445.8
2011-12,367.8
2011-12,408.0
2011-12,383.8
2011-12,355.3
2011-12,506.3
2011-12,467.4
2011-12,422.5
2012-13,326.5
2012-13,337.9
2012-13,339.7
2012-13,307.4
2012-13,343.4
2012-13,357.6
2012-13,402.9
2012-13,339.8
2012-13,342.1
2012-13,284.8
2012-13,359.3
2012-13,280.9
2012-13,306.3
2012-13,364.8
2012-13,302.4
2012-13,389.2
2012-13,364.6
2012-13,312.8
2012-13,365.9
2012-13,292.2
2012-13,302.2
2012-13,322.1
2012-13,322.2
2012-13,322.1
2012-13,308.4
2012-13,370.5
2012-13,292.8
2012-13,332.2
2012-13,320.6
2012-13,382.5
2012-13,327.3
2012-13,299.7
2012-13,345.6
2012-13,386.3
2012-13,321.5
2012-13,323.8
2012-13,360.5
2012-13,335.8
2012-13,356.2
2012-13,342.3
2012-13,325.5
2012-13,365.0
2012-13,331.8
2012-13,325.8
2012-13,334.2
2012-13,395.3
2012-13,394.0
2012-13,322.5
2012-13,306.8
2012-13,390.2
2012-13,412.3
2012-13,314.8
2012-13,345.5
2012-13,343.7
2012-13,363.4
2012-13,451.4
2012-13,449.2
2012-13,431.8
2012-13,441.1
2012-13,423.9
2012-13,441.2
2012-13,460.3
2012-13,434.1
2012-13,370.0
2012-13,484.2
2012-13,444.4
2012-13,435.6
2012-13,365.5
2012-13,397.5
2012-13,338.1
2012-13,373.9
2012-13,498.2
2012-13,484.4
2012-13,403.9
2013-14,329.8
2013-14,341.4
2013-14,323.7
2013-14,310.4
2013-14,346.4
2013-14,360.1
2013-14,403.1
2013-14,345.6
2013-14,341.6
2013-14,288.6
2013-14,359.0
2013-14,295.6
2013-14,311.0
2013-14,363.1
2013-14,304.8
2013-14,403.1
2013-14,375.3
2013-14,312.0
2013-14,363.9
2013-14,287.8
2013-14,307.6
2013-14,349.4
2013-14,329.6
2013-14,339.4
2013-14,309.9
2013-14,392.2
2013-14,295.9
2013-14,352.2
2013-14,308.2
2013-14,396.0
2013-14,331.0
2013-14,291.8
2013-14,341.4
2013-14,389.4
2013-14,315.7
2013-14,324.6
2013-14,366.7
2013-14,320.6
2013-14,360.1
2013-14,346.4
2013-14,342.5
2013-14,347.4
2013-14,349.8
2013-14,334.9
2013-14,329.1
2013-14,406.2
2013-14,406.3
2013-14,329.3
2013-14,324.1
2013-14,376.0
2013-14,411.7
2013-14,316.6
2013-14,365.0
2013-14,355.6
2013-14,384.0
2013-14,465.0
2013-14,456.2
2013-14,445.2
2013-14,445.5
2013-14,428.3
2013-14,463.8
2013-14,477.6
2013-14,430.1
2013-14,367.6
2013-14,499.0
2013-14,454.9
2013-14,456.6
2013-14,367.9
2013-14,375.7
2013-14,351.0
2013-14,379.2
2013-14,521.0
2013-14,472.2
2013-14,460.4
2014-15,345.6
2014-15,346.8
2014-15,332.1
2014-15,303.4
2014-15,346.9
2014-15,350.2
2014-15,411.8
2014-15,367.2
2014-15,370.7
2014-15,284.2
2014-15,345.0
2014-15,293.0
2014-15,305.7
2014-15,366.9
2014-15,313.2
2014-15,398.6
2014-15,379.9
2014-15,306.7
2014-15,361.6
2014-15,284.4
2014-15,308.0
2014-15,353.5
2014-15,332.4
2014-15,349.0
2014-15,310.9
2014-15,403.6
2014-15,296.7
2014-15,351.6
2014-15,334.7
2014-15,381.0
2014-15,329.9
2014-15,298.8
2014-15,341.6
2014-15,377.0
2014-15,315.4
2014-15,322.7
2014-15,372.7
2014-15,336.0
2014-15,365.6
2014-15,343.5
2014-15,337.7
2014-15,360.1
2014-15,342.6
2014-15,338.1
2014-15,342.8
2014-15,401.3
2014-15,400.2
2014-15,335.1
2014-15,344.8
2014-15,395.7
2014-15,409.2
2014-15,313.3
2014-15,370.9
2014-15,354.8
2014-15,372.0
2014-15,464.4
2014-15,459.9
2014-15,447.6
2014-15,449.5
2014-15,430.8
2014-15,461.1
2014-15,484.7
2014-15,442.1
2014-15,373.0
2014-15,519.6
2014-15,452.3
2014-15,464.1
2014-15,371.4
2014-15,394.0
2014-15,361.1
2014-15,385.1
2014-15,518.9
2014-15,465.0
2014-15,454.2
2015-16,340.7
2015-16,343.4
2015-16,327.9
2015-16,302.2
2015-16,334.4
2015-16,338.2
2015-16,405.7
2015-16,377.4
2015-16,281.3
2015-16,339.4
2015-16,304.5
2015-16,309.8
2015-16,360.7
2015-16,314.6
2015-16,391.2
2015-16,381.6
2015-16,314.4
2015-16,333.8
2015-16,284.5
2015-16,296.8
2015-16,341.4
2015-16,329.8
2015-16,349.6
2015-16,313.5
2015-16,394.4
2015-16,286.0
2015-16,346.7
2015-16,316.2
2015-16,393.2
2015-16,332.6
2015-16,292.3
2015-16,343.4
2015-16,383.8
2015-16,314.7
2015-16,326.7
2015-16,361.4
2015-16,334.0
2015-16,361.7
2015-16,339.4
2015-16,334.3
2015-16,354.0
2015-16,352.3
2015-16,338.9
2015-16,335.8
2015-16,399.0
2015-16,396.7
2015-16,332.0
2015-16,337.5
2015-16,380.5
2015-16,412.6
2015-16,306.0
2015-16,361.0
2015-16,352.5
2015-16,357.9
2015-16,458.8
2015-16,452.2
2015-16,452.0
2015-16,442.9
2015-16,426.1
2015-16,451.6
2015-16,475.1
2015-16,427.3
2015-16,366.5
2015-16,495.7
2015-16,447.3
2015-16,471.9
2015-16,372.3
2015-16,398.0
2015-16,369.0
2015-16,389.7
2015-16,526.4
2015-16,453.6
2015-16,455.4
2016-17,343.3
2016-17,346.0
2016-17,326.9
2016-17,308.2
2016-17,337.2
2016-17,338.0
2016-17,418.7
2016-17,354.5
2016-17,291.2
2016-17,346.0
2016-17,305.6
2016-17,310.3
2016-17,363.1
2016-17,323.5
2016-17,392.5
2016-17,379.2
2016-17,311.7
2016-17,330.8
2016-17,283.9
2016-17,311.6
2016-17,344.0
2016-17,335.9
2016-17,330.3
2016-17,317.7
2016-17,404.4
2016-17,286.2
2016-17,343.5
2016-17,318.4
2016-17,392.3
2016-17,326.0
2016-17,290.4
2016-17,348.1
2016-17,385.9
2016-17,308.4
2016-17,326.1
2016-17,380.2
2016-17,340.6
2016-17,365.3
2016-17,342.0
2016-17,341.7
2016-17,363.3
2016-17,355.3
2016-17,343.6
2016-17,340.4
2016-17,400.7
2016-17,389.6
2016-17,328.1
2016-17,345.8
2016-17,382.2
2016-17,430.4
2016-17,310.2
2016-17,365.0
2016-17,358.8
2016-17,358.0
2016-17,461.6
2016-17,456.3
2016-17,449.8
2016-17,446.8
2016-17,437.3
2016-17,439.0
2016-17,471.5
2016-17,435.7
2016-17,362.9
2016-17,476.4
2016-17,449.3
2016-17,469.9
2016-17,361.5
2016-17,397.4
2016-17,371.6
2016-17,369.9
2016-17,514.6
2016-17,464.8
2016-17,453.0
2017-18,337.7
2017-18,350.5
2017-18,315.3
2017-18,300.1
2017-18,332.9
2017-18,338.3
2017-18,408.4
2017-18,352.5
2017-18,286.2
2017-18,340.5
2017-18,292.8
2017-18,306.1
2017-18,358.0
2017-18,322.8
2017-18,385.3
2017-18,375.3
2017-18,306.1
2017-18,331.6
2017-18,280.7
2017-18,293.0
2017-18,346.5
2017-18,338.9
2017-18,328.0
2017-18,318.4
2017-18,372.0
2017-18,299.5
2017-18,340.7
2017-18,319.8
2017-18,380.1
2017-18,324.3
2017-18,291.1
2017-18,353.4
2017-18,376.0
2017-18,305.3
2017-18,330.1
2017-18,374.8
2017-18,337.2
2017-18,354.1
2017-18,337.9
2017-18,334.0
2017-18,353.9
2017-18,362.7
2017-18,338.6
2017-18,328.9
2017-18,387.3
2017-18,376.7
2017-18,321.0
2017-18,342.3
2017-18,382.5
2017-18,385.4
2017-18,304.9
2017-18,361.2
2017-18,354.9
2017-18,347.2
2017-18,446.3
2017-18,448.1
2017-18,434.3
2017-18,430.2
2017-18,419.2
2017-18,426.6
2017-18,457.0
2017-18,398.3
2017-18,358.2
2017-18,449.8
2017-18,442.8
2017-18,459.8
2017-18,354.9
2017-18,372.6
2017-18,359.8
2017-18,355.8
2017-18,483.8
2017-18,439.7
2017-18,435.4
2018-19,331.2
2018-19,347.8
2018-19,322.8
2018-19,305.5
2018-19,330.6
2018-19,330.7
2018-19,405.7
2018-19,352.1
2018-19,293.7
2018-19,338.0
2018-19,300.3
2018-19,302.9
2018-19,335.4
2018-19,317.0
2018-19,386.5
2018-19,364.4
2018-19,302.6
2018-19,325.3
2018-19,280.0
2018-19,302.5
2018-19,332.9
2018-19,333.7
2018-19,333.4
2018-19,316.7
2018-19,353.2
2018-19,278.0
2018-19,343.6
2018-19,314.3
2018-19,378.9
2018-19,318.6
2018-19,276.9
2018-19,349.8
2018-19,372.8
2018-19,301.2
2018-19,327.6
2018-19,367.3
2018-19,325.6
2018-19,355.0
2018-19,335.3
2018-19,335.4
2018-19,361.9
2018-19,368.5
2018-19,334.7
2018-19,325.5
2018-19,389.5
2018-19,362.9
2018-19,329.6
2018-19,354.6
2018-19,374.1
2018-19,378.5
2018-19,301.5
2018-19,351.7
2018-19,353.2
2018-19,362.7
2018-19,447.2
2018-19,440.2
2018-19,432.0
2018-19,430.6
2018-19,407.7
2018-19,423.3
2018-19,450.6
2018-19,389.9
2018-19,350.9
2018-19,413.2
2018-19,449.3
2018-19,433.9
2018-19,337.3
2018-19,352.2
2018-19,355.7
2018-19,346.8
2018-19,470.3
2018-19,431.5
2018-19,407.9
2019-20,318.9
2019-20,335.7
2019-20,323.6
2019-20,310.7
2019-20,342.0
2019-20,325.1
2019-20,409.1
2019-20,365.1
2019-20,292.7
2019-20,331.8
2019-20,302.5
2019-20,300.7
2019-20,331.1
2019-20,319.8
2019-20,390.0
2019-20,370.4
2019-20,301.4
2019-20,327.1
2019-20,283.9
2019-20,301.7
2019-20,338.2
2019-20,331.8
2019-20,324.1
2019-20,324.9
2019-20,355.3
2019-20,288.4
2019-20,335.6
2019-20,319.3
2019-20,396.5
2019-20,318.8
2019-20,281.0
2019-20,353.3
2019-20,382.3
2019-20,305.0
2019-20,329.4
2019-20,373.0
2019-20,327.2
2019-20,362.5
2019-20,344.8
2019-20,358.2
2019-20,363.6
2019-20,371.0
2019-20,336.4
2019-20,334.3
2019-20,375.7
2019-20,359.4
2019-20,335.9
2019-20,353.1
2019-20,366.3
2019-20,392.1
2019-20,307.0
2019-20,368.0
2019-20,336.2
2019-20,352.0
2019-20,407.7
2019-20,429.9
2019-20,428.9
2019-20,422.4
2019-20,412.0
2019-20,424.0
2019-20,435.0
2019-20,389.9
2019-20,346.8
2019-20,440.4
2019-20,435.5
2019-20,441.2
2019-20,330.4
2019-20,352.9
2019-20,350.6
2019-20,340.5
2019-20,469.8
2019-20,425.7
2019-20,408.8
2020-21,321.7
2020-21,368.1
2020-21,370.2
2020-21,362.6
2020-21,326.4
2020-21,452.0
2020-21,406.0
2020-21,317.7
2020-21,372.5
2020-21,361.8
2020-21,345.2
2020-21,356.2
2020-21,353.7
2020-21,440.5
2020-21,388.3
2020-21,328.2
2020-21,386.6
2020-21,319.6
2020-21,344.3
2020-21,373.7
2020-21,358.0
2020-21,352.6
2020-21,363.7
2020-21,391.8
2020-21,329.5
2020-21,374.8
2020-21,342.8
2020-21,437.0
2020-21,351.4
2020-21,300.7
2020-21,368.3
2020-21,405.1
2020-21,334.8
2020-21,355.4
2020-21,414.0
2020-21,405.6
2020-21,369.8
2020-21,397.1
2020-21,388.7
2020-21,397.8
2020-21,374.0
2020-21,375.3
2020-21,415.2
2020-21,355.3
2020-21,376.3
2020-21,391.2
2020-21,390.4
2020-21,426.6
2020-21,344.6
2020-21,408.2
2020-21,366.8
2020-21,438.5
2020-21,422.2
2020-21,423.5
2020-21,445.3
2020-21,448.2
2020-21,453.1
2020-21,407.6
2020-21,358.0
2020-21,435.9
2020-21,403.9
2020-21,450.0
2020-21,432.2
2020-21,341.5
2020-21,363.7
2020-21,364.2
2020-21,349.8
2020-21,472.0
2020-21,435.9
2020-21,411.1
